Year,TotJan1B,SSB,RecAge1
1978,120116,85230.1,29490.9
1979,131654,94933.1,27926
1980,137563,98526.9,22166.6
1981,135068,91033,44587.3
1982,132620,84930.8,20541.8
1983,110330,78806.5,10371.5
1984,93563.4,66145.4,29515.7
1985,81402.2,57655.5,9220
1986,79861.3,49111.4,47093.3
1987,89438.6,59864.3,16417.6
1988,94948.4,69200.1,26390.5
1989,84983.3,63535.3,18623.2
1990,83080.8,59313.1,11007
1991,75949.1,48624.1,24600.7
1992,59435.5,36866.5,8248.08
1993,43893.2,30775.8,9946.18
1994,29141.8,20521.5,7048.91
1995,25284.2,19946.7,3896.37
1996,27276.6,21221.7,7118.07
1997,28712,20580.2,10268.5
1998,27497.8,19958.5,4745.74
1999,28944.1,21166.7,11767.1
2000,30819.3,22254.3,6022.14
2001,32648.1,25244.4,2535.7
2002,25367,19731.6,3798
2003,18989.3,14182.7,1179.31
2004,14589.6,11371,6263.8
2005,12756.4,9438.35,1297.94
2006,12166.2,9361.96,2935.35
2007,12616.5,9202.28,3411.53
2008,11949.6,7978.06,2213.63
2009,11338.2,7671.79,2404.7
2010,9078.39,6108.36,1907.65
2011,7862.18,5231.03,3248.03
2012,6492.49,4065.56,2107.47
2013,7540.06,5202.21,929.14
2014,7766.12,6179.93,1151.08
