yr,colony,species,breedpairs,prod(fledge/pair),nfledged,prop herring,majority diet
1984,Eastern Egg Rock,Arctic,15,,,,
1987,Eastern Egg Rock,Arctic,30,,,,
1988,Eastern Egg Rock,Arctic,50,,,,
1989,Eastern Egg Rock,Arctic,36,,,,
1990,Eastern Egg Rock,Arctic,80,,,,
1991,Eastern Egg Rock,Arctic,65,,,,
1992,Eastern Egg Rock,Arctic,50,,,,
1993,Eastern Egg Rock,Arctic,46,,,,
1994,Eastern Egg Rock,Arctic,48,,,,
1995,Eastern Egg Rock,Arctic,45,,,,
1996,Eastern Egg Rock,Arctic,79,,,,
1997,Eastern Egg Rock,Arctic,94,,,,
1998,Eastern Egg Rock,Arctic,81,,,,
1999,Eastern Egg Rock,Arctic,91,0.2,18.2,,
2000,Eastern Egg Rock,Arctic,85,0.76,64.6,,
2001,Eastern Egg Rock,Arctic,92,0.3,27.6,,
2002,Eastern Egg Rock,Arctic,81,1.2,97.2,0.0225,hake
2003,Eastern Egg Rock,Arctic,77,0.64,49.28,0.0744,hake
2004,Eastern Egg Rock,Arctic,84,0.58,48.72,0.0534,hake
2005,Eastern Egg Rock,Arctic,81,0.58,46.98,0.0398,hake
2006,Eastern Egg Rock,Arctic,80,0.62,49.6,0.04,hake
2007,Eastern Egg Rock,Arctic,101,0.97,97.97,0.032,hake
2008,Eastern Egg Rock,Arctic,111,0.71,78.81,0,hake
2009,Eastern Egg Rock,Arctic,100,0.37,37,0.2,hake
2010,Eastern Egg Rock,Arctic,83,0.64,53.12,0,hake
2011,Eastern Egg Rock,Arctic,77,0.4,30.8,0.07,hake
2012,Eastern Egg Rock,Arctic,57,0.26,14.82,0.08,inverts
2013,Eastern Egg Rock,Arctic,68,0.53,36.04,0,hake
2014,Eastern Egg Rock,Arctic,62,0.89,55.18,0.04,hake
2015,Eastern Egg Rock,Arctic,75,0.91,68.25,0,hake
2016,Eastern Egg Rock,Arctic,76,0.63,47.88,,
1984,Eastern Egg Rock,Common,328,,,,
1985,Eastern Egg Rock,Common,110,,,,
1986,Eastern Egg Rock,Common,0,,,,
1987,Eastern Egg Rock,Common,268,,,,
1988,Eastern Egg Rock,Common,599,,,,
1989,Eastern Egg Rock,Common,883,,,,
1990,Eastern Egg Rock,Common,1103,,,,
1991,Eastern Egg Rock,Common,869,,,,
1992,Eastern Egg Rock,Common,1102,,,,
1993,Eastern Egg Rock,Common,1168,,,,
1994,Eastern Egg Rock,Common,1198,,,,
1995,Eastern Egg Rock,Common,1159,,,,
1996,Eastern Egg Rock,Common,1261,0.46,580.06,0.1,hake
1997,Eastern Egg Rock,Common,1441,1.66,2392.06,0.15,hake
1998,Eastern Egg Rock,Common,1396,1.17,1633.32,0.13,hake
1999,Eastern Egg Rock,Common,1205,1.07,1289.35,0.158,hake
2000,Eastern Egg Rock,Common,1443,1.08,1558.44,0.6,herring
2001,Eastern Egg Rock,Common,1514,0.4,605.6,0.48,herring
2002,Eastern Egg Rock,Common,1003,0.91,912.73,0.0961,hake
2003,Eastern Egg Rock,Common,992,0.97,962.24,0.1341,hake
2004,Eastern Egg Rock,Common,873,0.67,584.91,0.1049,hake  
2005,Eastern Egg Rock,Common,758,0.59,447.22,0.094,hake
2006,Eastern Egg Rock,Common,763,0.64,488.32,0.14,hake
2007,Eastern Egg Rock,Common,1139,1.18,1344.02,0.178,hake
2008,Eastern Egg Rock,Common,1033,0.87,898.71,0.03,hake
2009,Eastern Egg Rock,Common,1036,0.7,725.2,0.2,hake and butterfish
2010,Eastern Egg Rock,Common,714,1.09,778.26,0.08,hake
2011,Eastern Egg Rock,Common,829,1.14,945.06,0.14,hake
2012,Eastern Egg Rock,Common,817,1.01,825.17,0.3,hake
2013,Eastern Egg Rock,Common,831,0.71,590.01,0.13,hake
2014,Eastern Egg Rock,Common,698,1.32,921.36,0.38,herring
2015,Eastern Egg Rock,Common,894,1.3,1162.2,0.17,hake
2016,Eastern Egg Rock,Common,852,1.22,1039.44,,
1990,Jenny I,Arctic,0,,,,
1991,Jenny I,Arctic,0,,,,
1992,Jenny I,Arctic,0,,,,
1993,Jenny I,Arctic,0,,,,
1994,Jenny I,Arctic,0,,,,
1995,Jenny I,Arctic,0,,,,
1996,Jenny I,Arctic,0,,,,
1997,Jenny I,Arctic,0,,,,
2004,Jenny I,Arctic,1,,,,
2005,Jenny I,Arctic,0,,,,
2006,Jenny I,Arctic,1,,,,
2007,Jenny I,Arctic,0,,,,
2008,Jenny I,Arctic,0,,,,
