Year,TotJan1B,SSB,RecAge1
1982,38300,22446,10520.7
1983,28528.1,16708.7,11478.5
1984,23012.8,13731.2,11418
1985,21441,12610,8872.02
1986,20444.4,11750.4,13972.1
1987,19775.1,11383.9,14918
1988,20119.6,11858.7,27732.7
1989,27403.1,15814.4,4234.01
1990,33872.8,20510.4,4169.43
1991,28004.7,17535.9,7394.53
1992,18826.3,10922.2,7276.54
1993,13928.6,7681.34,9461.73
1994,12865.2,7120.76,3192.91
1995,13097.7,8140.81,3401.38
1996,13348.2,8498.3,2714.2
1997,11246.4,7194.27,4436.13
1998,9872.82,6374.23,3828.23
1999,10487.1,6961.53,7554.33
2000,14787.8,9223.09,4387.75
2001,18383.3,12070.3,1122.34
2002,16697.5,12058.8,4898.2
2003,14084.7,10074.6,1783.37
2004,12504.2,8729.36,5864.42
2005,10745.3,7281.32,3559.43
2006,10520.1,6842.05,5907.42
2007,13526,8608.15,4406.49
2008,15093.8,9716.34,3086.54
2009,15664.3,10088.1,2035.28
2010,13107.1,8638.36,1280.72
2011,9241.01,5616.48,1615.36
2012,5491.18,2954.39,2268.67
2013,3723.83,2064.2,1030.4
2014,3899.79,2225.31,2041.62
