Year,CLUHAR_Allcod,CLUALL_Allcod,CLUHAR_GBcod,CLUALL_GBcod,CLUHAR_GOMcod,CLUALL_GOMcod,CLUHAR_dogfish,CLUALL_dogfish
1973,4.81035,7.32685,12.134069,12.415838,0,1.251566,,
1974,0,26.06837,0,30.497227,0,9.636009,,
1975,0,8.08174,0,0,0,12.248927,,
1976,9.44383,11.13189,0,0,72.134899,72.134899,,
1977,0,0,0,0,0,0,0,0.302812
1978,0,4.97391,0,0,0,7.813319,1.914421,6.829663
1979,0,11.04976,0,0,0,23.995738,1.795909,2.886648
1980,0,0.12626,0,0.976608,0,0,0,0
1981,1.01958,1.35944,0,0,2.487598,2.487598,0,0
1982,0.63976,0.63976,0,0,2.122094,2.122094,0,0.371301
1983,0,0,0,0,0,0,0,0.041267
1984,0,2.48396,0,0,0,17.161936,0,0.578065
1985,0,1.99936,0,0,0,3.810268,0.359748,2.009217
1986,1.99841,4.0301,0,0,0.005947,3.183339,0.095981,2.080802
1987,2.39735,8.4239,0,5.043575,0,2.391249,0.067038,0.103362
1988,3.56826,10.09949,1.996205,1.996205,2.692368,19.836254,0.770868,1.679833
1989,6.20739,12.94565,0,3.043885,3.979809,61.600245,3.426394,7.011856
1990,16.11689,20.17183,20.372278,20.814433,10.596453,20.464603,14.259597,14.366885
1991,5.69226,19.09854,0.194815,0.194815,9.263508,36.745071,4.077396,16.852642
1992,11.07312,28.77912,5.57939,18.520321,18.675369,36.460157,17.657686,30.938267
1993,15.31329,26.25299,17.760531,26.015428,2.126424,14.580912,12.940107,20.685853
1994,11.05461,16.94129,0,0,13.581272,19.117693,11.787631,16.983939
1995,15.51536,21.04967,12.8374,25.303715,14.700133,18.731236,13.984996,16.416096
1996,17.26426,29.47929,10.144836,12.111748,15.037177,34.761703,5.060327,8.301738
1997,8.64276,27.42656,1.667096,36.027827,16.3026,23.885696,2.584051,8.677998
1998,13.849,25.58994,9.923222,21.261399,22.953701,26.06174,2.886714,6.85993
1999,11.76487,14.26439,12.613372,17.171377,7.662453,8.561206,9.541255,24.196178
2000,16.15447,20.80669,14.189897,20.552027,13.969221,13.969221,1.678053,10.777181
2001,22.01192,24.56676,24.024153,24.720602,24.00317,25.980327,13.913662,20.138478
2002,19.15041,20.21277,14.219558,14.96192,58.563964,58.563964,15.67663,17.21413
2003,17.30058,21.65071,9.615768,9.615768,27.124888,28.35345,5.22295,5.310415
2004,14.32075,16.9465,10.920565,10.920565,52.583385,55.461819,9.838433,10.951155
2005,20.3182,20.3182,16.550429,16.550429,25.370297,25.370297,3.74411,3.964426
2006,22.67904,22.90081,3.505659,3.505659,34.799692,35.435784,18.555852,23.773988
2007,6.8092,15.75261,0,0,1.398067,5.0044,5.425136,7.664299
2008,20.62391,20.62391,1.131683,1.131683,18.648041,18.648041,15.468256,64.882958
2009,4.18077,10.59001,0.984603,19.778279,1.520115,2.27084,1.263012,1.718291
2010,13.18863,13.50549,5.232279,5.634757,4.128443,4.128443,0.217704,2.357871
2011,9.56702,11.95042,15.100139,23.935322,1.356477,1.356477,11.770324,11.770324
2012,18.09013,29.12991,21.11803,21.11803,6.88179,35.328353,1.393941,1.470542
2013,21.52154,25.13834,13.562631,13.562631,20.658928,24.83684,28.187946,28.291862
2014,15.63616,15.63616,0,0,23.501058,23.501058,8.439182,8.439182
2015,23.70816,23.70816,8.50797,8.50797,21.339125,21.339125,1.852517,19.901583
