"Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Sim"
8490158.95191508 3775700.35626698 1890232.23910469 940762.236804581 476712.678570156 227884.598043634 111616.037562163 111533.325651533 1
6282496.889079 3775697.975552 1890069.719756 940476.473081 476524.167339 227754.008674 111552.075942 111469.41143 1
14250809.260684 2793947.030021 1892717.213613 945060.259891 479458.061029 229799.352257 112533.87007 112450.478009 1
3794105.326433 6337418.841639 1394869.502723 932830.091876 472831.117385 225005.948976 110495.739306 110394.239162 1
7905924.638807 1687791.730514 3302581.194642 799946.859586 568495.764841 295338.890981 143999.819009 144258.421325 1
3686280.409124 3516934.983572 880155.983665 1898628.501791 489062.581369 356730.145864 189883.213718 189124.271337 1
5967324.700285 1639834.643542 1834035.715536 506005.84031 1160794.977619 306898.476682 229363.054852 248671.459183 1
34997187.583205 2654535.084242 854376.978309 1051021.619906 308076.660386 724034.664652 196133.567453 311806.74914 1
4197000.231427 15568295.306655 1382666.251706 489133.404503 639087.342615 191804.468701 461862.432766 330951.501113 1
10977755.462138 1867019.457772 8113978.800264 793282.086198 298256.486632 399502.564514 122848.945339 517835.098534 1
15852758.056267 4883443.90815 973920.553778 4669748.170885 485676.250706 187540.520085 257381.984895 422263.477009 1
2911022.905672 7052098.632036 2548137.862439 561066.445108 2862688.009902 305960.681347 121050.677404 448104.235304 1
8119562.513887 1294971.638216 3680979.771625 1469730.834201 344490.459643 1807514.026285 197936.839899 376616.25436 1
7695840.902058 3611974.212632 675379.135704 2116969.243342 898991.171393 216321.850829 1162942.448741 377703.829485 1
11227730.338599 3423480.362639 1883639.553619 388309.340223 1294418.599704 564222.584449 139106.936094 1008908.922669 1
11390784.454282 4994621.243957 1784682.496545 1081589.677703 237029.206454 810406.414106 361936.136951 753803.210014 1
4640970.7773 5067116.995102 2601041.238425 1021036.316486 657088.263727 147380.610463 516291.189758 726390.12208 1
13837528.36793 2064507.454679 2639062.852012 1488618.347315 620590.803899 408842.803912 93956.397103 808986.113367 1
8669028.458109 6155535.287884 1075131.427095 1509841.838934 904370.719639 385875.0059 260465.992056 588902.509075 1
6272432.508383 3856370.348392 3206623.684185 615782.851189 918597.162225 563509.965141 246351.444203 554220.056268 1
12965761.184459 2790252.721207 2008430.791822 1835043.8253 374233.511869 571461.061784 359183.601517 521541.561048 1
25038506.956342 5767736.540736 1453120.482039 1149170.489126 1114985.669437 232739.736419 364139.559674 573117.63238 1
17144903.155142 11138277.823925 3005844.115885 833488.595589 700488.333113 696653.549284 148994.920418 612843.703235 1
19714740.562332 7626857.4115 5806464.013359 1725969.821126 508775.635736 438563.844992 446891.536093 499937.682334 1
7966309.604323 8770075.004714 3977996.446313 3340209.711709 1056075.991666 319638.21793 282305.004285 622091.056511 1
7819725.680097 3543787.876435 4571825.919923 2284048.333343 2038762.944975 661117.00175 205019.52021 592861.867893 1
6258532.879876 3478590.503604 1848097.155761 2628655.868963 1396636.923159 1279640.290332 425160.447935 524644.379891 1
9255220.708916 2784092.509639 1813717.611921 1061813.67016 1605811.868434 875386.632897 821783.946104 622710.70805 1
7513925.058564 4117141.763543 1450661.415576 1039656.421467 646700.210044 1002115.902051 559727.386789 941994.011333 1
6080310.447104 3342512.646526 2143338.439813 828928.71192 630611.934146 401183.611987 636959.019676 975053.46335 1
6838536.633713 2704770.140829 1739206.370728 1222575.222674 501639.712651 389902.97173 254150.459912 1042996.576742 1
24592956.15587 3042079.850829 1408618.168838 995166.635062 742883.464192 311998.157705 248467.746063 845607.913879 1
17841320.993804 10939982.103825 1583512.080482 804615.463877 603344.021939 460539.060538 198176.048534 710728.032461 1
3903657.697576 7936574.421208 5695030.072662 904727.227726 487965.727837 374198.221071 292655.392681 590740.685552 1
22878131.340535 1736518.867758 4133740.617927 3259924.251804 550021.813788 303713.538924 238632.673175 575671.562393 1
5722945.720338 10177222.277694 904725.576868 2368668.388337 1984517.950323 343006.983489 194062.023959 531849.201645 1
8776177.131144 2545830.358716 5304198.764083 519061.843537 1444296.508144 1240506.951377 219685.042664 475331.671273 1
11366831.580348 3903983.236414 1323818.968896 3018694.131332 313192.101967 889183.214862 782505.597404 448051.576108 1
16461300.33527 5056385.060445 2028872.905919 751859.464513 1816563.156645 192072.015674 558724.742873 788184.987258 1
15671789.137476 7322580.464004 2627190.332821 1151398.021413 451989.930982 1112415.737743 120513.048549 862990.53958 1
7558141.450459 6971417.702355 3807658.584083 1495106.613602 694692.86188 278245.648274 701649.307493 634969.34663 1
3800346.700336 3362164.725084 3626704.900426 2170379.27793 903955.282139 428950.884966 176033.963876 862751.804314 1
7177429.11094 1690549.660891 1749489.581818 2068938.756379 1313639.533952 559032.090571 271800.790803 673485.683043 1
11063305.208493 3192817.366722 879795.585085 998536.577056 1253057.448849 813159.641894 354559.968844 612859.888988 1
7997183.914817 4921386.715843 1660267.175181 500723.458583 602528.505161 771503.054671 512974.573731 623451.123577 1
13623458.51464 3557438.633986 2557304.566224 942545.973609 301155.236939 369219.512338 484393.216193 728400.822456 1
6765151.445784 6060316.919181 1852988.274073 1464140.367979 573165.932266 187513.590106 235548.492629 790195.400126 1
10442099.61816 3009442.795687 3157282.007408 1061611.070573 891130.590373 357334.211598 119778.903707 670092.233901 1
13415883.34972 4645118.497854 1568043.589029 1809659.810795 646505.874139 556026.614646 228445.275965 516756.043012 1
5073643.533001 5968005.633061 2421047.09783 899739.081897 1103626.772748 404224.578128 356204.315764 487927.390272 1
15895555.132777 2256988.460106 3109988.866924 1388322.057449 548262.383644 689223.796963 258650.968503 551536.183706 1
13242440.949063 7071087.701219 1176559.588762 1785637.972333 847373.722472 343209.800214 442063.696057 531059.69313 1
9859862.009583 5890803.345071 3681453.528681 672511.798138 1083530.96444 525980.47396 218276.844233 631792.911435 1
10685917.777459 4386100.043027 3068128.352545 2107130.744403 408800.071409 674282.608963 335369.535775 554193.392703 1
