"Sim" "Mselectivity" "Maturity" "Weight" "Fselectivity" "UnfishedNAA"
1 1 0 0.018 0.0011 12542074.3976634
1 0.8 0.02 0.04 0.15 5579442.96296882
1 0.67 0.63 0.073 0.53 2918555.91410268
1 0.59 0.98 0.11 0.69 1696197.43711112
1 0.55 1 0.14 1 1051785.23473759
1 0.52 1 0.16 1 673672.591073548
1 0.5 1 0.18 1 442103.590810522
1 0.49 1 0.21 1 900103.722088287
2 1 0 0.018 0.0011 12542074.3976634
2 0.8 0.02 0.04 0.15 5579442.96296882
2 0.67 0.63 0.073 0.53 2918555.91410268
2 0.59 0.98 0.11 0.69 1696197.43711112
2 0.55 1 0.14 1 1051785.23473759
2 0.52 1 0.16 1 673672.591073548
2 0.5 1 0.18 1 442103.590810522
2 0.49 1 0.21 1 900103.722088287
3 1 0 0.018 0.0011 12542074.3976634
3 0.8 0.02 0.04 0.15 5579442.96296882
3 0.67 0.63 0.073 0.53 2918555.91410268
3 0.59 0.98 0.11 0.69 1696197.43711112
3 0.55 1 0.14 1 1051785.23473759
3 0.52 1 0.16 1 673672.591073548
3 0.5 1 0.18 1 442103.590810522
3 0.49 1 0.21 1 900103.722088287
4 1 0 0.018 0.0011 12542074.3976634
4 0.8 0.02 0.04 0.15 5579442.96296882
4 0.67 0.63 0.073 0.53 2918555.91410268
4 0.59 0.98 0.11 0.69 1696197.43711112
4 0.55 1 0.14 1 1051785.23473759
4 0.52 1 0.16 1 673672.591073548
4 0.5 1 0.18 1 442103.590810522
4 0.49 1 0.21 1 900103.722088287
5 1 0 0.018 0.0011 12542074.3976634
5 0.8 0.02 0.04 0.15 5579442.96296882
5 0.67 0.63 0.073 0.53 2918555.91410268
5 0.59 0.98 0.11 0.69 1696197.43711112
5 0.55 1 0.14 1 1051785.23473759
5 0.52 1 0.16 1 673672.591073548
5 0.5 1 0.18 1 442103.590810522
5 0.49 1 0.21 1 900103.722088287
6 1 0 0.018 0.0011 12542074.3976634
6 0.8 0.02 0.04 0.15 5579442.96296882
6 0.67 0.63 0.073 0.53 2918555.91410268
6 0.59 0.98 0.11 0.69 1696197.43711112
6 0.55 1 0.14 1 1051785.23473759
6 0.52 1 0.16 1 673672.591073548
6 0.5 1 0.18 1 442103.590810522
6 0.49 1 0.21 1 900103.722088287
7 1 0 0.018 0.0011 12542074.3976634
7 0.8 0.02 0.04 0.15 5579442.96296882
7 0.67 0.63 0.073 0.53 2918555.91410268
7 0.59 0.98 0.11 0.69 1696197.43711112
7 0.55 1 0.14 1 1051785.23473759
7 0.52 1 0.16 1 673672.591073548
7 0.5 1 0.18 1 442103.590810522
7 0.49 1 0.21 1 900103.722088287
8 1 0 0.018 0.0011 12542074.3976634
8 0.8 0.02 0.04 0.15 5579442.96296882
8 0.67 0.63 0.073 0.53 2918555.91410268
8 0.59 0.98 0.11 0.69 1696197.43711112
8 0.55 1 0.14 1 1051785.23473759
8 0.52 1 0.16 1 673672.591073548
8 0.5 1 0.18 1 442103.590810522
8 0.49 1 0.21 1 900103.722088287
9 1 0 0.018 0.0011 12542074.3976634
9 0.8 0.02 0.04 0.15 5579442.96296882
9 0.67 0.63 0.073 0.53 2918555.91410268
9 0.59 0.98 0.11 0.69 1696197.43711112
9 0.55 1 0.14 1 1051785.23473759
9 0.52 1 0.16 1 673672.591073548
9 0.5 1 0.18 1 442103.590810522
9 0.49 1 0.21 1 900103.722088287
10 1 0 0.018 0.0011 12542074.3976634
10 0.8 0.02 0.04 0.15 5579442.96296882
10 0.67 0.63 0.073 0.53 2918555.91410268
10 0.59 0.98 0.11 0.69 1696197.43711112
10 0.55 1 0.14 1 1051785.23473759
10 0.52 1 0.16 1 673672.591073548
10 0.5 1 0.18 1 442103.590810522
10 0.49 1 0.21 1 900103.722088287
11 1 0 0.018 0.0011 12542074.3976634
11 0.8 0.02 0.04 0.15 5579442.96296882
11 0.67 0.63 0.073 0.53 2918555.91410268
11 0.59 0.98 0.11 0.69 1696197.43711112
11 0.55 1 0.14 1 1051785.23473759
11 0.52 1 0.16 1 673672.591073548
11 0.5 1 0.18 1 442103.590810522
11 0.49 1 0.21 1 900103.722088287
12 1 0 0.018 0.0011 12542074.3976634
12 0.8 0.02 0.04 0.15 5579442.96296882
12 0.67 0.63 0.073 0.53 2918555.91410268
12 0.59 0.98 0.11 0.69 1696197.43711112
12 0.55 1 0.14 1 1051785.23473759
12 0.52 1 0.16 1 673672.591073548
12 0.5 1 0.18 1 442103.590810522
12 0.49 1 0.21 1 900103.722088287
13 1 0 0.018 0.0011 12542074.3976634
13 0.8 0.02 0.04 0.15 5579442.96296882
13 0.67 0.63 0.073 0.53 2918555.91410268
13 0.59 0.98 0.11 0.69 1696197.43711112
13 0.55 1 0.14 1 1051785.23473759
13 0.52 1 0.16 1 673672.591073548
13 0.5 1 0.18 1 442103.590810522
13 0.49 1 0.21 1 900103.722088287
14 1 0 0.018 0.0011 12542074.3976634
14 0.8 0.02 0.04 0.15 5579442.96296882
14 0.67 0.63 0.073 0.53 2918555.91410268
14 0.59 0.98 0.11 0.69 1696197.43711112
14 0.55 1 0.14 1 1051785.23473759
14 0.52 1 0.16 1 673672.591073548
14 0.5 1 0.18 1 442103.590810522
14 0.49 1 0.21 1 900103.722088287
15 1 0 0.018 0.0011 12542074.3976634
15 0.8 0.02 0.04 0.15 5579442.96296882
15 0.67 0.63 0.073 0.53 2918555.91410268
15 0.59 0.98 0.11 0.69 1696197.43711112
15 0.55 1 0.14 1 1051785.23473759
15 0.52 1 0.16 1 673672.591073548
15 0.5 1 0.18 1 442103.590810522
15 0.49 1 0.21 1 900103.722088287
16 1 0 0.018 0.0011 12542074.3976634
16 0.8 0.02 0.04 0.15 5579442.96296882
16 0.67 0.63 0.073 0.53 2918555.91410268
16 0.59 0.98 0.11 0.69 1696197.43711112
16 0.55 1 0.14 1 1051785.23473759
16 0.52 1 0.16 1 673672.591073548
16 0.5 1 0.18 1 442103.590810522
16 0.49 1 0.21 1 900103.722088287
17 1 0 0.018 0.0011 12542074.3976634
17 0.8 0.02 0.04 0.15 5579442.96296882
17 0.67 0.63 0.073 0.53 2918555.91410268
17 0.59 0.98 0.11 0.69 1696197.43711112
17 0.55 1 0.14 1 1051785.23473759
17 0.52 1 0.16 1 673672.591073548
17 0.5 1 0.18 1 442103.590810522
17 0.49 1 0.21 1 900103.722088287
18 1 0 0.018 0.0011 12542074.3976634
18 0.8 0.02 0.04 0.15 5579442.96296882
18 0.67 0.63 0.073 0.53 2918555.91410268
18 0.59 0.98 0.11 0.69 1696197.43711112
18 0.55 1 0.14 1 1051785.23473759
18 0.52 1 0.16 1 673672.591073548
18 0.5 1 0.18 1 442103.590810522
18 0.49 1 0.21 1 900103.722088287
19 1 0 0.018 0.0011 12542074.3976634
19 0.8 0.02 0.04 0.15 5579442.96296882
19 0.67 0.63 0.073 0.53 2918555.91410268
19 0.59 0.98 0.11 0.69 1696197.43711112
19 0.55 1 0.14 1 1051785.23473759
19 0.52 1 0.16 1 673672.591073548
19 0.5 1 0.18 1 442103.590810522
19 0.49 1 0.21 1 900103.722088287
20 1 0 0.018 0.0011 12542074.3976634
20 0.8 0.02 0.04 0.15 5579442.96296882
20 0.67 0.63 0.073 0.53 2918555.91410268
20 0.59 0.98 0.11 0.69 1696197.43711112
20 0.55 1 0.14 1 1051785.23473759
20 0.52 1 0.16 1 673672.591073548
20 0.5 1 0.18 1 442103.590810522
20 0.49 1 0.21 1 900103.722088287
21 1 0 0.018 0.0011 12542074.3976634
21 0.8 0.02 0.04 0.15 5579442.96296882
21 0.67 0.63 0.073 0.53 2918555.91410268
21 0.59 0.98 0.11 0.69 1696197.43711112
21 0.55 1 0.14 1 1051785.23473759
21 0.52 1 0.16 1 673672.591073548
21 0.5 1 0.18 1 442103.590810522
21 0.49 1 0.21 1 900103.722088287
22 1 0 0.018 0.0011 12542074.3976634
22 0.8 0.02 0.04 0.15 5579442.96296882
22 0.67 0.63 0.073 0.53 2918555.91410268
22 0.59 0.98 0.11 0.69 1696197.43711112
22 0.55 1 0.14 1 1051785.23473759
22 0.52 1 0.16 1 673672.591073548
22 0.5 1 0.18 1 442103.590810522
22 0.49 1 0.21 1 900103.722088287
23 1 0 0.018 0.0011 12542074.3976634
23 0.8 0.02 0.04 0.15 5579442.96296882
23 0.67 0.63 0.073 0.53 2918555.91410268
23 0.59 0.98 0.11 0.69 1696197.43711112
23 0.55 1 0.14 1 1051785.23473759
23 0.52 1 0.16 1 673672.591073548
23 0.5 1 0.18 1 442103.590810522
23 0.49 1 0.21 1 900103.722088287
24 1 0 0.018 0.0011 12542074.3976634
24 0.8 0.02 0.04 0.15 5579442.96296882
24 0.67 0.63 0.073 0.53 2918555.91410268
24 0.59 0.98 0.11 0.69 1696197.43711112
24 0.55 1 0.14 1 1051785.23473759
24 0.52 1 0.16 1 673672.591073548
24 0.5 1 0.18 1 442103.590810522
24 0.49 1 0.21 1 900103.722088287
25 1 0 0.018 0.0011 12542074.3976634
25 0.8 0.02 0.04 0.15 5579442.96296882
25 0.67 0.63 0.073 0.53 2918555.91410268
25 0.59 0.98 0.11 0.69 1696197.43711112
25 0.55 1 0.14 1 1051785.23473759
25 0.52 1 0.16 1 673672.591073548
25 0.5 1 0.18 1 442103.590810522
25 0.49 1 0.21 1 900103.722088287
26 1 0 0.018 0.0011 12542074.3976634
26 0.8 0.02 0.04 0.15 5579442.96296882
26 0.67 0.63 0.073 0.53 2918555.91410268
26 0.59 0.98 0.11 0.69 1696197.43711112
26 0.55 1 0.14 1 1051785.23473759
26 0.52 1 0.16 1 673672.591073548
26 0.5 1 0.18 1 442103.590810522
26 0.49 1 0.21 1 900103.722088287
27 1 0 0.018 0.0011 12542074.3976634
27 0.8 0.02 0.04 0.15 5579442.96296882
27 0.67 0.63 0.073 0.53 2918555.91410268
27 0.59 0.98 0.11 0.69 1696197.43711112
27 0.55 1 0.14 1 1051785.23473759
27 0.52 1 0.16 1 673672.591073548
27 0.5 1 0.18 1 442103.590810522
27 0.49 1 0.21 1 900103.722088287
28 1 0 0.018 0.0011 12542074.3976634
28 0.8 0.02 0.04 0.15 5579442.96296882
28 0.67 0.63 0.073 0.53 2918555.91410268
28 0.59 0.98 0.11 0.69 1696197.43711112
28 0.55 1 0.14 1 1051785.23473759
28 0.52 1 0.16 1 673672.591073548
28 0.5 1 0.18 1 442103.590810522
28 0.49 1 0.21 1 900103.722088287
29 1 0 0.018 0.0011 12542074.3976634
29 0.8 0.02 0.04 0.15 5579442.96296882
29 0.67 0.63 0.073 0.53 2918555.91410268
29 0.59 0.98 0.11 0.69 1696197.43711112
29 0.55 1 0.14 1 1051785.23473759
29 0.52 1 0.16 1 673672.591073548
29 0.5 1 0.18 1 442103.590810522
29 0.49 1 0.21 1 900103.722088287
30 1 0 0.018 0.0011 12542074.3976634
30 0.8 0.02 0.04 0.15 5579442.96296882
30 0.67 0.63 0.073 0.53 2918555.91410268
30 0.59 0.98 0.11 0.69 1696197.43711112
30 0.55 1 0.14 1 1051785.23473759
30 0.52 1 0.16 1 673672.591073548
30 0.5 1 0.18 1 442103.590810522
30 0.49 1 0.21 1 900103.722088287
31 1 0 0.018 0.0011 12542074.3976634
31 0.8 0.02 0.04 0.15 5579442.96296882
31 0.67 0.63 0.073 0.53 2918555.91410268
31 0.59 0.98 0.11 0.69 1696197.43711112
31 0.55 1 0.14 1 1051785.23473759
31 0.52 1 0.16 1 673672.591073548
31 0.5 1 0.18 1 442103.590810522
31 0.49 1 0.21 1 900103.722088287
32 1 0 0.018 0.0011 12542074.3976634
32 0.8 0.02 0.04 0.15 5579442.96296882
32 0.67 0.63 0.073 0.53 2918555.91410268
32 0.59 0.98 0.11 0.69 1696197.43711112
32 0.55 1 0.14 1 1051785.23473759
32 0.52 1 0.16 1 673672.591073548
32 0.5 1 0.18 1 442103.590810522
32 0.49 1 0.21 1 900103.722088287
33 1 0 0.018 0.0011 12542074.3976634
33 0.8 0.02 0.04 0.15 5579442.96296882
33 0.67 0.63 0.073 0.53 2918555.91410268
33 0.59 0.98 0.11 0.69 1696197.43711112
33 0.55 1 0.14 1 1051785.23473759
33 0.52 1 0.16 1 673672.591073548
33 0.5 1 0.18 1 442103.590810522
33 0.49 1 0.21 1 900103.722088287
34 1 0 0.018 0.0011 12542074.3976634
34 0.8 0.02 0.04 0.15 5579442.96296882
34 0.67 0.63 0.073 0.53 2918555.91410268
34 0.59 0.98 0.11 0.69 1696197.43711112
34 0.55 1 0.14 1 1051785.23473759
34 0.52 1 0.16 1 673672.591073548
34 0.5 1 0.18 1 442103.590810522
34 0.49 1 0.21 1 900103.722088287
35 1 0 0.018 0.0011 12542074.3976634
35 0.8 0.02 0.04 0.15 5579442.96296882
35 0.67 0.63 0.073 0.53 2918555.91410268
35 0.59 0.98 0.11 0.69 1696197.43711112
35 0.55 1 0.14 1 1051785.23473759
35 0.52 1 0.16 1 673672.591073548
35 0.5 1 0.18 1 442103.590810522
35 0.49 1 0.21 1 900103.722088287
36 1 0 0.018 0.0011 12542074.3976634
36 0.8 0.02 0.04 0.15 5579442.96296882
