"TotalBio" "Sim"
692035.870723111 1
652182.33949176 1
758160.154974581 1
671496.764915653 1
721958.760016982 1
679571.628891577 1
667671.889452608 1
1173872.41573289 1
1125813.12339162 1
1188396.3578343 1
1298461.14632738 1
1147834.77225182 1
1080481.85902238 1
1014291.10350923 1
1027662.41516687 1
1040371.95064511 1
949459.753403065 1
1027152.21166882 1
1005736.42739129 1
948472.910569749 1
1011467.31639479 1
1293125.31092564 1
1430298.9335998 1
1600494.37386968 1
1532460.15827586 1
1420105.22459309 1
1262836.2660392 1
1170724.44436738 1
1069643.05703056 1
962680.857870001 1
890120.203745198 1
1152879.10744642 1
1305926.1332536 1
1207906.43767591 1
1431063.98107925 1
1316033.53096381 1
1244153.29728369 1
1210515.48424745 1
1280510.73716064 1
1337619.57011307 1
1258740.80086482 1
1114433.88141045 1
1015822.51813517 1
998971.246230419 1
948138.502025419 1
1019274.89583034 1
979094.154910251 1
999805.637552544 1
1069934.40082473 1
991518.755546558 1
1105556.45853211 1
1168156.36209603 1
1163649.60958272 1
1165412.62967393 1
1366439.75485925 1
2111160.10349165 1
2161685.60415829 1
2094029.99589743 1
1846881.75577898 1
1691439.47369056 1
1592016.58701095 1
1690682.6107042 1
1937086.31318912 1
1857020.76286073 1
1755792.79271987 1
1702623.51021798 1
1657843.2368236 1
1466738.06750948 1
1334018.46841994 1
1229670.30655065 1
1154877.81683351 1
1193182.23418631 1
1119935.10489605 1
1106536.65702638 1
1089504.92735154 1
997844.95814621 1
862594.193502353 1
838703.21728345 1
810026.563058651 1
977995.934957555 1
978584.883916141 1
1151180.6067124 1
1291065.03070868 1
1456210.2941326 1
2121002.98672409 1
2036537.59452009 1
2265462.28086568 1
2066198.31065674 1
1853037.49516216 1
1561998.67231471 1
1661925.67792568 1
1897691.49253666 1
1806162.28630284 1
1609444.06943667 1
1535571.26216515 1
1372988.33817554 1
1307867.43723932 1
1555505.66891267 1
1398383.8791012 1
1335524.42023124 1
1182028.8635524 1
1040994.36276395 1
929138.251628385 1
788140.90224606 1
734788.660122977 1
649574.824017952 1
807595.895021327 1
853804.577449206 1
782304.973499616 1
909800.884653626 1
855275.296765256 1
799052.204809134 1
752617.952455032 1
732963.33015246 1
1019796.6185055 1
1042080.20453443 1
1162324.14549872 1
1137819.61635357 1
1193445.6109918 1
1369166.85260789 1
1239066.4128729 1
1273525.111693 1
1327305.97527909 1
1315716.23841644 1
1339493.9537046 1
1315490.70667222 1
1168822.66966522 1
993537.63975219 1
858412.037619544 1
854041.588957942 1
890098.811190355 1
854962.702546808 1
804522.229455911 1
713797.111112194 1
677601.927709459 1
771566.951961429 1
795836.377445408 1
785433.770018195 1
919150.943180561 1
953985.072791813 1
914951.800485156 1
1009183.22319325 1
992721.787446912 1
917151.917353677 1
849692.03055576 1
963432.030840364 1
936854.999408573 1
914705.715440978 1
818425.916393017 1
878125.899236319 1
692035.870723111 2
858431.26740074 2
783641.470319271 2
933965.631156004 2
937374.147951019 2
916281.632052129 2
1107249.17114599 2
1400618.67829237 2
1781837.18348271 2
1778093.14104529 2
1655812.60695208 2
1507232.20367185 2
1317443.68448212 2
1183106.17576579 2
1052964.59296783 2
995960.782817809 2
1032162.54094361 2
1016826.11077717 2
1008760.83610473 2
1051454.63411698 2
961871.933996767 2
1019749.64889508 2
1103869.05490658 2
1262119.08303777 2
1248794.68384658 2
1121274.83151935 2
1032251.07953876 2
1046627.35914541 2
1269820.28857779 2
1235917.81491617 2
1106499.94790646 2
1053474.97153465 2
1149852.5161843 2
1062195.7019178 2
1076160.41048742 2
2249264.3950721 2
2374425.64145816 2
2217022.36439163 2
2057429.29039202 2
1988269.23717533 2
1730752.95654039 2
1559357.77023832 2
1413586.19821866 2
1240885.20520036 2
1066501.95598333 2
1571375.15644595 2
1432932.62871892 2
1369386.21922603 2
1721176.51109789 2
1690487.46469915 2
1555590.10561206 2
1711869.31314888 2
1698469.90362685 2
1540590.50554225 2
1306290.45354543 2
1102891.08714465 2
922705.883048617 2
811110.626511757 2
1101741.85257185 2
1069070.92287414 2
1035822.3223324 2
1454830.25493905 2
1569992.54396635 2
1578126.2891036 2
1492184.08776909 2
1371278.78817797 2
1167519.73102953 2
1098265.74160521 2
995101.229279666 2
1049978.56954135 2
1101561.98138572 2
1296820.34646282 2
1208054.02994594 2
1062130.34003918 2
1144133.27479382 2
1165731.85520414 2
1028391.17234019 2
947838.988638652 2
945548.942697259 2
847319.962029893 2
781003.837573921 2
845944.281282268 2
901418.304116787 2
808013.410990384 2
1006694.64913385 2
1076371.28835906 2
1054998.0658747 2
983184.155790413 2
998667.902352801 2
941334.705266071 2
844907.827882328 2
990243.721285108 2
975979.304750318 2
982541.449076941 2
1066154.38125828 2
1226811.04952188 2
1190098.17466362 2
1120408.20162497 2
1427626.78496706 2
1373096.98075995 2
1455340.1463641 2
1383323.93114308 2
1252471.37071079 2
1235945.71084395 2
1227526.03946921 2
1173115.00746168 2
1102382.33741779 2
1208745.97152815 2
1243549.26194328 2
1318222.31679447 2
1452678.77931319 2
1335424.3455931 2
1351882.9708565 2
1691227.67145242 2
1986935.78767108 2
2126376.2563752 2
1998373.02640441 2
1752247.80747496 2
1597924.88059816 2
1395855.12429277 2
1303429.96646869 2
1234102.35612157 2
1072423.06766398 2
1089220.84467067 2
1242775.62126905 2
1251033.87162437 2
1348117.82580101 2
1344261.01467705 2
1282131.599444 2
1133823.03128735 2
1173677.01335896 2
1293519.63818731 2
1366377.29947947 2
1366239.16325611 2
1199362.43173872 2
1183337.62112841 2
999088.208439532 2
1034929.84783027 2
1039748.47938041 2
1041129.76949934 2
965133.864490687 2
912525.705193218 2
855781.919524152 2
853157.137668539 2
945094.339904372 2
939960.280258861 2
840094.96794127 2
757227.923332436 2
687737.129110321 2
717240.253397188 2
692035.870723111 3
727654.075542805 3
624487.717341172 3
651022.588885824 3
642198.716395579 3
648305.382451287 3
647965.246235092 3
603199.682450604 3
551808.860225099 3
637018.640490095 3
581803.048029782 3
523993.992514644 3
556038.720429438 3
568992.673120761 3
622885.946353638 3
590159.763939117 3
647075.888258458 3
679464.053759876 3
660794.752699549 3
649088.461380929 3
663589.986341558 3
887416.623976302 3
930164.519821197 3
962813.916128376 3
1029940.52885892 3
1222894.55989636 3
1247656.47913195 3
1123129.91244724 3
1047671.78748257 3
1027603.68830354 3
1018777.61738098 3
1101509.47596793 3
989880.125619915 3
1086070.83422832 3
1139645.27297657 3
1136897.4910823 3
1286484.36978968 3
1243463.68874513 3
1257705.86436223 3
1125240.444959 3
1009615.817029 3
996391.874576041 3
957977.077650412 3
1057871.96157588 3
937136.40742287 3
969794.505306927 3
1427363.5466047 3
1523770.73175793 3
1976181.44489252 3
2142737.01826664 3
2205950.67939865 3
2041737.2585813 3
1932189.51276407 3
1986364.59840822 3
1801217.93351399 3
1577859.51037187 3
1334282.01328878 3
1114914.63083276 3
954445.875957671 3
856708.337301126 3
767949.288567558 3
832031.312696131 3
873787.796763594 3
857401.314722311 3
778763.16516578 3
755877.739950991 3
752189.177661872 3
685428.435391078 3
626236.692909319 3
585483.031229017 3
569583.832140229 3
553551.494515711 3
616957.297746766 3
726214.919197897 3
667813.047826047 3
833548.107599468 3
1044478.54291986 3
1012755.38047742 3
1114106.50941921 3
1025123.86687325 3
977305.63090923 3
921710.10386616 3
859757.660866114 3
849978.877445104 3
830958.799192636 3
1003024.35960698 3
1126926.81832288 3
1071018.30060566 3
1303809.41117208 3
1248693.40933077 3
1180789.09341332 3
1194774.4585984 3
1165684.63599827 3
1142379.02658757 3
1272082.7841905 3
1164411.44370537 3
1109253.01086762 3
1368086.00339793 3
1447901.75617527 3
1416622.6664289 3
1496208.90598595 3
1348662.84378242 3
1459048.6845384 3
1409181.3377217 3
1395831.97821904 3
1298915.38763629 3
1157580.04508612 3
1123937.26763766 3
1077123.07746822 3
1192731.02272565 3
1124370.00670952 3
1090037.02537569 3
1261357.22798451 3
1234002.17360125 3
1061025.01096373 3
1167654.7404552 3
1156165.76850437 3
1135452.04412012 3
1236840.96906291 3
1127610.60452596 3
999845.283302483 3
919412.632889983 3
854119.869416101 3
856799.484416549 3
1029680.68188609 3
1045261.78226217 3
951684.365155028 3
1184732.58117812 3
1062995.79116071 3
1035723.92545565 3
896446.191048836 3
798060.863378295 3
743958.779476401 3
729928.199117457 3
637867.736889522 3
671498.930773196 3
709596.778881571 3
1025870.75328504 3
1182302.80897972 3
1185055.7982956 3
1078454.06654415 3
1006939.72709334 3
1022767.74978433 3
927232.155087652 3
931181.265886313 3
816152.903457601 3
806332.248809607 3
777087.509217937 3
909955.291237407 3
904926.723752204 3
692035.870723111 4
707784.550014593 4
803886.112619931 4
780687.499817823 4
803833.969452051 4
890234.538214193 4
992646.417919076 4
993321.782668097 4
1072973.15824842 4
1126047.88449055 4
1309582.34559699 4
1492317.63892635 4
1477006.53486076 4
1530305.36214538 4
1319770.22479467 4
1142984.09566644 4
1088589.74817983 4
1155478.05426385 4
1199606.78951739 4
1112131.40613827 4
997983.256232394 4
930212.786479519 4
942570.381718199 4
883291.040319276 4
921558.385657205 4
881530.034905966 4
982455.13369802 4
1024381.63694723 4
941190.107196049 4
946748.451888244 4
986587.411438324 4
1197277.033024 4
1429558.28976125 4
1460183.00703481 4
1553265.47016375 4
1501033.19383641 4
1341722.89623882 4
1358638.16443085 4
1388784.99946882 4
1292925.1768851 4
1130146.64990386 4
1197856.3071792 4
1094711.60511406 4
1023186.01900306 4
954233.198132301 4
872767.280059058 4
829084.50185032 4
830410.867556957 4
1153927.56823805 4
1292732.73135105 4
1219831.03697357 4
1333081.85694667 4
1511585.66762327 4
1431325.53938244 4
1294831.20009572 4
1257744.63560307 4
1216631.01571217 4
1280883.82481028 4
1336575.16218768 4
1710416.31985166 4
1793618.69229843 4
1645154.14922593 4
1550369.41300006 4
1646026.39068793 4
1642482.40962859 4
1654184.08484326 4
1567945.43122775 4
1409381.18334687 4
1379737.80881856 4
1288652.42016043 4
1495389.11099903 4
1509011.45607315 4
1426872.30169462 4
1304683.72671089 4
