Row Labels,ABRVER,ALOAES,ALOPSE,ALOSAP,ALOSSP,AMMOSP,AMPHIP,ANALUP,ANCHEP,ANCHSP,ANCMIT,ANGORD,ANGROS,ANTHOZ,ANTRAD,APHFAM,AR,ARCIS2,ARCISL,ARGFAM,ARGSIL,ARGSTR,ARTESP,ARTHRO,ASCIDI,ASPMON,ASTERO,ASTGUT,ASTRS1,ATHFAM,BAICHR,BALFAM,BELFAM,BIVALV,BLEFAM,BOTFAM,BRETYR,BROBRO,BRYOZO,CALFA3,CANFAM,CAPFA1,CARFAM,CENSTR,CENTS1,CEPCHO,CEPHAL,CHAETO,CHLAGA,CHONDR,CIRRIP,CITARC,CLUFAM,CLUHAR,CNIDAR,CONFAM,CONOCE,COPEPO,COTFAM,CRAFAM,CRUEGG,CRULAR,CRUSHR,CRUSTA,CRYMAC,CTENOP,CUMACE,CYCFAM,CYCLUM,CYNREG,DECAPO,DECCRA,DECLAR,DECPUN,DECSHR,DIPFOR,ECHIN1,ECHINO,ECHINT,EMPTY,ENCCIM,ENGFAM,ETRMIC,ETROSP,ETRTER,EUPFAM,FISEGG,FISLAR,FISOTO,FISSCA,GADFAM,GADMOR,GADORD,GAMMAR,GASACU,GASFAM,GASTRO,GLYCYN,GOBFAM,HEMAME,HIPERE,HIPHIP,HIPPLA,HIPPSP,HOLOTH,HOMAME,HYDROZ,HYPFAM,ILLESP,ILLILL,ISOPOD,LAGRHO,LARVAC,LEIXAN,LEPPRO,LIMFER,LIMPOL,LIPASP,LOLBRE,LOLISP,LOLPEA,LOPAME,LOPFAM,LUMLUM,LUMMAC,LYCVER,MACAME,MAUWEI,MELAEG,MELATL,MENMEN,MENTSP,MERBIL,MICFAM,MICUND,MISC,MOLLUS,MORSAX,MYCFAM,MYOAEN,MYOOCT,MYOXSP,MYROCE,MYSIDA,MYXFAM,MYXGLU,NAUDUC,NEMATO,NEMSCO,OCTOPO,OPHCRU,OPHFA1,OPHFA2,OPHGRA,OPHIU1,OPHMAR,OSTEIC,OTHER,OTHFIS,OTOOMO,PAGFAM,PANFAM,PARAS1,PARDEN,PAROBL,PECFA1,PECFA2,PENFAM,PEPALE,PEPTRI,PERMIN,PERORD,PETFAM,PHOGUN,PLATYH,PLEAME,PLEFAM,PLEORD,POLVIR,POLYCH,POMSAL,PORIFE,PRICAR,PRIEVO,PTERO,PYCNOG,RAJASP,RAJEGG,RAJEGL,RAJERI,RAJGAR,SALSAL,SCAFAM,SCIFAM,SCOAQU,SCOFAM,SCOMSP,SCOSAU,SCOSCO,SCYFAM,SCYPHO,SEBFAS,SELVOM,SEMTEN,SEPFAM,SERFA2,SHARK,SOLFAM,SQUACA,SQUFAM,STECHR,STOMAT,SYMPLA,SYMPSP,SYNFA1,SYNFA2,SYNINT,SYNKAU,TETFAM,TRAMYO,TRIFA1,TRIMAC,TRIMUR,ULVSUB,UNOBS,URAFAM,UROCHE,UROCHO,UROCHU,UROPSP,UROREG,UROTEN,WORMS,ZOAFAM,(blank)
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,12.441175,0.027455,0,0,0,0,0,0,0.446128,0,0,1.893063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345467,0,0,0,0,0,0,3.87272,0.000113,0,0,0,0,1.080472,0.000094,0,0,0,0,0.302812,0,0.282136,0.032402,0,0,0,0.000397,0,0,0,0.121431,0,0.06384,0,0,0,0,0.000019,0.094335,0.000113,0,0.004834,0,0,0,0,0,0,0,0,0,0.38967,0.104248,0,0,0,0.000227,0.831247,0,0,0.09983,0,0,0,0,0,0,0,0,0,0,0,0,0.008251,0.003776,2.255921,0,0,0,0.073697,0,0,0,0,0,0,8.918642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071337,0.679057,0,0,0,0,0,0,0,0,0,0,0.000113,0,0,0,0,0.065483,0,0,0,0,0.014974,48.308229,0,0.089218,0.001529,0,0,0,7.571593,0,0,0,0,0,0,0,0,0.000151,0,0,0.299886,0,0.098281,0,0,0,0,0,0,0.803868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032251,0.003493,0,0,0,0,0,0,0,6.053868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.146103,0,0.017069,0,0.04898,0,0
1978,0,0,0,0,0,6.712965,0.036497,0,0,0,0,0,0,0,0,0.000936,11.488956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.780764,0,0,0.146738,0,0,0,0.766348,0.052968,0,0,0,0,4.910376,0.002152,0,0,0,0,4.915242,1.914421,0.040147,0,0,0.003556,0,0,0,0,0,0.049224,0,0.218141,0,0,0,0,0.020775,0,0.005241,0,0.005521,0,0,0,0,0,0,0,0,0,0,1.324756,0,0,0,0.053249,0.010013,0,0,0.062794,0,0,0.061858,0,0,0,0,0.12016,0,0,1.001428,0,0.633461,0.020401,2.651758,0,0,0,0.239478,0,0,0,0,0,0,5.416845,0,0,0,0,0,0,0,0,0,0,0,0,4.890911,0,0,0.005241,0.409518,0,0,0,0,0,0,0,0,0,0,0.000094,0,0,0,0,0,0,0.000094,0,2.875327,0,13.829833,0,0.037059,0.132607,0,0,0,27.362541,0,0,0,0.018249,0,0,0,0,0.003837,0,0.000187,0,0,0.253609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,1.898979,0,0,0,0,0.005709,0,0
1979,0,0,0,0,0,7.080031,0,0,0,0,0,0,0,0.448267,0,0.005426,16.94078,0,0,0,0,0,0,0,0.061319,0,0,0,0,0,0,0,0.396938,0.439482,0,0.008526,0,0,0,0,0.531978,0,0,0,0,0,27.659996,0.053654,0,0,0,0,1.090739,1.795909,0.006976,0,0,0.005081,0.02954,0.003014,0,0.000172,0,0.060802,0,18.267236,0,0,0,0,0.020067,0.608024,0,0,0.01688,0,0.442841,0,0,0,0,0,0,0,0,0.048229,0,0.011196,0,0.003876,0,0,0,0.024373,0,0,0.235889,0,0,0,0,0,0,0,0,0,0.411923,0.058822,1.977283,0,0.005081,0,0.76158,0,0,0.002067,0,0,0,0,3.769488,0,0,0,0,0,0,0,0,0,0,0,2.92592,0,0,0.339753,0.097232,0,0,0,0,0,0,0.000086,0,0,0,0.000258,0,0,0,0,0,0,0,0,0,0.000172,7.222563,0,0.027645,0.03643,0.038583,0,0,1.714868,0,0,0,0,0,0,0,0.018,0.000258,0,0,0.185852,0,0.234425,0,0.010162,0,0,0.325715,0,0.076132,0,0,0,0,0,0,0,0,0,0,0,2.099835,0,0,0,0,0,0.028937,0,0,0,0,0,0.917978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0.029712,0,0
1980,0,0,13.580653,0,0,0.781543,0.000557,0,0,0.006544,0,0,0,2.289561,0,0,6.677718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.932585,0,0,0,0,0,0,10.062246,0,0,0,0,0,0.864738,0,0,0,0,0,0,0,0,0,0,0.000139,0,0.000278,0,0,0,0.026525,0,1.027298,0,0,0,0,0.248749,1.079304,0.000278,0,0.022905,0,0,0,0,0,0,0,0,0,0,0.204958,0,0.001601,0,0.004525,0,0,0,0.657064,0,0,1.671831,0,0,0,0,0,0,0,0,0,0.086536,0.002019,0,0,0,0,1.11474,0.071359,0,0,0,0,0,2.235536,0.667995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244997,0,0,0,0.009747,0,0,0,0.001949,0,0,1.467987,0.00007,0,0,0,0.920433,0,0,0,0,0,0.010721,37.27688,0,0.31057,0.043442,0.516712,3.028428,0,2.321725,0,0.00369,0,0,0,0,0,0,0.005082,0,0,0,0,0.012462,0,1.654914,0,0,0,0,0,0,0,0,0,0,0,0,0.14251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112713,0,0,0,0,0,0,0,0,1.189232,0,0,0,0,0,0.405949,0,0
1981,0,0.05308,1.334606,0,0,19.968954,0.01376,0,0.028145,0,0,0.04666,0,0.129341,0,0,15.787232,0,0,0.443006,0,0,0,0,0,0,0.001367,0,0,0,0.093826,0,0,4.619201,0,0,0.8916,0,0,0,7.464058,0,0,0,0,0,2.585313,0,0,0,0,0,0,0,0.005201,0,0,0,0.064938,0.000505,0,0,0,0.426749,0,4.612246,0,0,0,0.296516,0,1.37767,0,0,0.080868,0,0,0,0,0,0.083394,0.066781,0,0,0,0,0.048384,0,0,0,1.552632,0,0,0,0,0,0.969555,0,0,0,0,0,0,0,0,0,0,0,4.631475,0,0,0.262249,0,1.248359,0.07427,0,0,0,0,3.16616,0,1.291007,0,0,0,0,0,0,0.001783,0,0,0,0,0.001962,0.093826,0.014652,0.325018,0,0,0,0,0,0,0.064879,0,0,0,0.002794,0,0.007816,0,0.061193,0.016405,0,0,0,0,0,16.933622,0,0,0,0,0.01914,0,0.930058,0,0,0,0.382318,0,0,0,0,0,0,0.075221,0.235977,0,0.252026,0.07115,0,0,0,0,0,0,0,0,0,0,0,0,0.092013,0,0.039438,0,0,5.598207,0,0.017594,0,0,0,0,0,0.142953,0,0,0,0.185661,0,0,0.030493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033078,0.12417,0.408709,0,0,0.118731,0,0
1982,0,0,0,0,0,11.970783,0.448328,0.014148,0.002021,0,0,0,0,0.071413,0,0,11.31121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.904621,0,0,0.586913,0,0,0,0.325177,0,0,0,0,0,0.825356,0.004978,0,0,0,0,0.371301,0,0.725859,0,0,0.010393,0,0,0,0,0,0.007548,0,2.701048,0,0,0,0,0,2.672141,0,0,0.202375,0,0,0.049243,0,0,0,0,0,0,0,0.294323,0.072137,0.00136,0,0,0.247351,0,0,0.006251,0,0,0.022632,0,0,0,0,0,0,0,0,0,0,0.005489,0.012177,0,0,0,0,0.014422,0,0,0,0,0,0.282721,0,0,0,0,0,0,0.115154,0,0,0,0,0,1.530604,0,0.020249,0.011428,1.220548,0,0,0,0.045438,0,0,0.017878,0,0,0,0,0,0.329369,0,0.011328,0.01154,0,0,0,0,0,9.764224,0,0.022257,0.030579,0,0.109627,0,0.002121,0,0,0,0.203373,0,0,0,0.001447,0,0.006488,0,0,0,0.007386,0,0,0.004329,0,0,0,0,0,0,0.002458,0,0,0,0,0.112509,0.207565,0,0.030654,0,0,0,0,0,0,0,0,0,0,0,0,0.002882,0,0,0,0,0,0,0,0,0,0,0,0,0.002882,0,0,0,0,0,0,0,0,0.011965,0,0
