Yr,Length>80cm,Length36-79,Length<35,All,F_SSB1,F_SSB3yrMA,TotExpB_stoc,TotB_stoc,FemaleSSB_stoc,Kalman smooth_FSSB_kg/tow,Kalman smooth FSSB kT
1968,41.37489039,110.4391293,1.517815979,153.3318357,,,,,,,
1969,27.37215913,69.31358061,0.655078132,97.34081787,,,,,,,
1970,36.69170651,33.02535038,3.189536816,72.90659371,,,,,,,
1971,103.8178834,27.63392426,2.755984147,134.2077918,,,,,,,
1972,126.6141102,145.9336716,1.546119608,274.0939014,,,,,,,
1973,178.7058368,165.2556842,2.583987253,346.5455083,,,,,,,
1974,221.8577205,179.5888888,2.662456526,404.1090658,,,,,,,
1975,105.0927074,124.9606766,3.967962636,234.0213466,,,,,,,
1976,96.30480874,120.8282291,1.201530809,218.3345686,,,,,,,
1977,77.3318361,68.04581533,0.532048267,145.9096997,,,,,,,
1978,87.38547529,131.2029109,1.244165585,219.8325518,,,,,,,
1979,52.30088246,18.56917042,1.819234028,72.68928691,,,,,,,
1980,168.1209009,123.4518165,0.837676422,292.4103938,,,,,,,
1981,293.8125439,100.6358497,5.055449902,399.5038434,,,,,,,
1982,488.5749899,204.851089,1.167388198,694.5934672,454.0071118,275.0522132,,,,,
1983,107.7843354,135.2558042,7.032063587,250.0722032,77.71424869,266.0686306,,,,,
1984,143.119049,121.4130489,0.34815241,264.8802503,115.5795672,215.7669759,,,,,
1985,442.5695136,605.0187992,9.101647773,1056.689961,317.029061,170.1076256,,,,,
1986,194.7940642,81.45649561,1.956614429,278.2071743,191.2533357,207.953988,,,,,
1987,309.6420518,233.1124129,7.218394408,549.9728592,219.1376128,242.4733365,,,,,
1988,459.4387524,247.01726,1.978206293,708.4342187,433.1434395,281.1781293,,,,,
1989,202.5715106,258.6275661,2.682270132,463.8813468,162.0775921,271.4528815,,,,,
1990,470.9697448,466.6099536,1.710671689,939.2903701,400.2898602,331.836964,,,,,
1991,250.3269544,294.6979602,2.405581878,547.4304966,220.354583,260.9073451,570.113,582.274,234.229,25.89,135.9116211
1992,322.3726156,411.7860218,1.726288874,735.8849263,280.5210497,300.3884976,532.641,664.85,269.264,25.89,135.9116211
1993,262.4825848,302.6256725,1.205294787,566.3135522,234.6344119,245.1700149,379.501,553.731,220.002,24.24,127.2498145
1994,142.4348332,362.5212178,9.824077961,514.780129,105.3151493,206.823537,322.345,544.415,186.132,19.12,100.3719659
1995,131.8815001,328.4543068,0.593088744,460.9288956,102.4282467,147.4592693,261.387,460.932,133.264,16.58,87.03803315
1996,229.9038775,536.4333955,2.123233044,768.4605061,196.4939637,134.7457866,329.048,519.92,120.664,15.02,78.84868866
1997,101.1573047,414.2551802,0.096542114,515.509027,83.66508193,127.5290974,316.075,520.782,114.091,12.17,63.88738622
1998,49.65628955,305.4347015,0.127498962,355.21849,26.7105172,102.2898543,319.828,489.233,91.458,4.9,25.72294104
1999,83.12340411,397.1932849,0.050482812,480.3671718,62.67361887,57.68307267,185.468,406.287,51.821,9.59,50.34347032
2000,97.48833734,257.7136055,0.156649612,355.3585925,85.80331653,58.39581754,167.483,358.185,52.562,10.37,54.43814257
2001,73.4063,231.929,0.074686,305.409986,56.665,68.38064513,286.458,343.602,61.552,9.92,52.07583166
2002,94.173,377.789,0.1228,472.0848,75.177,72.54843884,291.695,337.686,64.844,10.84,56.90544508
2003,87.05370105,381.7760459,0.273780674,469.1035277,64.5417149,65.4612383,278.283,371.2,58.376,8.16,42.8365712
2004,50.34967042,173.0835076,1.561835171,224.9950131,40.37458887,60.03110126,241.697,347.176,53.625,6.99,36.69456283
2005,86.64935331,354.5147126,0.690920886,441.8549868,55.84877608,53.58835995,237.536,338.17,47.719,10.61,55.69804172
2006,282.4683208,548.0809222,0.267814315,830.8170574,253.437727,116.5536973,327.077,453.881,106.18,18.74,98.37712553
2007,176.9090778,301.1266697,0.556341161,478.5920886,158.0137947,155.7667659,233.662,524.205,141.351,22.8,119.6904195
2008,271.371616,384.9738054,1.051995864,657.3974173,241.7240377,217.7251865,423.273,586.413,194.616,26.24,137.7489741
2009,170.1839929,380.9830578,6.714813219,557.8818639,148.2609238,182.6662521,361.04,505.116,163.256,24.41,128.142243
2010,178.837579,351.3202796,2.591123891,532.7489825,160.5566592,183.5138736,377.034,521.494,164.066,25.56,134.1792598
2011,240.5577124,468.5519046,3.470111441,712.5797284,213.8811574,174.2329135,410.49,557.059,169.415,28.16,147.8281673
2012,398.9966066,722.9896365,9.157428313,1131.143671,348.4130348,240.9502838,518.504,688.632,215.744,29.64,155.5975454
2013,202.7138945,577.4032188,11.72755099,791.8446642,145.5501428,235.9481117,567.696,766.064,211.372,27.3,143.3135287
2014,NA,NA,NA,NA,NA,NA,,,,26.31,138.1164446
2015,147.6993638,320.6485891,2.42209555,470.7700484,125.3748134,135.4624781,473.278,648.989,138.997,25.13,131.9219405
2016,214.389,549.3144,3.1109,766.8143,,181.0441819,,,,,
