yr,HerringSSB,HerringAge1Rec,HerringAge5F,HerringCatch,HerringTotalB
1965,487791,9673290,0.13,126283,1114580
1966,664671,9316950,0.23,220802,1330900
1967,718733,21239500,0.4,305692,1583410
1968,522820,8330330,0.66,477767,1351500
1969,384600,8636760,0.63,396798,1000200
1970,363094,4585220,0.62,321493,847893
1971,292821,21664900,0.79,345828,869034
1972,265695,4194630,0.72,280419,918835
1973,439370,3923930,0.67,273553,847310
1974,302931,4969610,0.64,229522,613100
1975,193876,3124010,0.76,233459,469052
1976,143253,3311420,0.58,144545,360698
1977,89992,8680250,0.61,103585,293295
1978,56509,8553230,0.68,111574,406769
1979,80081,1269840,0.46,118876,373968
1980,71723,5966670,0.75,112971,247046
1981,72968,3550190,0.46,104702,191587
1982,75904,3838310,0.44,70410,189183
1983,89223,2802820,0.33,44613,231889
1984,111320,9118220,0.44,55358,273327
1985,161943,6187970,0.25,61216,310538
1986,204845,5413870,0.19,68105,501968
1987,245771,7348750,0.24,77277,567886
1988,274854,11645300,0.24,87038,748659
1989,320960,12768900,0.26,99955,945092
1990,329208,13668000,0.17,94185,1059960
1991,406173,11761500,0.18,104739,1176860
1992,554490,7205610,0.17,124717,1253230
1993,628688,7281060,0.14,108453,1224030
1994,562838,10014400,0.11,85942,1169840
1995,560655,34648500,0.17,124433,1689940
1996,534057,19493400,0.17,133332,2011560
1997,959694,18842900,0.16,144650,1674800
1998,734714,10178100,0.15,128715,1517560
1999,592598,27222400,0.16,129498,1678940
2000,628921,8066140,0.16,125971,1535340
2001,739698,8487150,0.19,140785,1422530
2002,495772,18475400,0.18,105096,1378380
2003,426021,22083700,0.21,111480,1444700
2004,421699,10603100,0.2,115409,1248960
2005,460035,7593670,0.2,106793,1082090
2006,422208,17108300,0.23,116864,1153560
2007,411626,5739830,0.21,112463,1034540
2008,420561,15098800,0.21,91129,1053330
2009,332461,62377200,0.29,107587,2062720
2010,347675,10568800,0.16,79412,1672280
2011,564969,11473600,0.13,86154,1564600
2012,735915,42388700,0.13,87677,2249210
2013,671555,14731100,0.13,101622,2041000
2014,1041500,27517700,0.1,95317,2191250
